username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"Witnify","2018-07-11-09:06",0,0,0,"Spanish # bullfighter # VictorBarrio tragically gored to death on live TV . # RIP http://bit.ly/2ua31Wf pic.twitter.com/OQoMqPPGz9","","","# bullfighter # VictorBarrio # RIP","1017032266441162753","","","https://twitter.com/Witnify/status/1017032266441162753","https://pbs.twimg.com/media/Dh05dLZXcAAwt1h.jpg"
"Elliet_Monster","2017-09-09-10:08",0,0,0,"Spanish bullfighter gored to death live on television:","","","","906519688838094848","","","https://twitter.com/Elliet_Monster/status/906519688838094848",""
"animal_buffs","2017-08-15-07:00",0,0,0,"Spanish bullfighter gored to death on live TV http://j.mp/2v3woZn pic.twitter.com/aDhxlPFBDv","","","","897412567789916161","","","https://twitter.com/animal_buffs/status/897412567789916161","https://pbs.twimg.com/media/DHQ_-SdW0AALVQW.jpg"
"animal_buffs","2017-08-04-10:00",0,1,1,"Spanish bullfighter gored to death on live TV http://j.mp/2v3woZn pic.twitter.com/usx1JM952h","","","","893471603396415488","","","https://twitter.com/animal_buffs/status/893471603396415488","https://pbs.twimg.com/media/DGY_r9EUAAAKfRB.jpg"
"Witnify","2017-07-11-06:18",0,3,2,"Spanish # bullfighter # VictorBarrio tragically gored to death on live TV last year. # RIP http://bit.ly/2u7g8GP pic.twitter.com/nY7BgLZSyp","","","# bullfighter # VictorBarrio # RIP","884718576694951936","","","https://twitter.com/Witnify/status/884718576694951936","https://pbs.twimg.com/media/DEcm2wFXUAAHlnf.jpg"
"Witnify","2017-07-10-19:05",0,1,1,"Spanish # bullfighter # VictorBarrio tragically gored to death on live TV last year. # RIP http://bit.ly/2ua31Wf pic.twitter.com/RP5y32Wlek","","","# bullfighter # VictorBarrio # RIP","884549049092800512","","","https://twitter.com/Witnify/status/884549049092800512","https://pbs.twimg.com/media/DEaMq5aXsAQOxph.jpg"
"Greaterman45","2017-06-20-06:41",0,0,0,"Spanish Bullfighter Gored to Death After Slipping on His Own Cape - Complex... live by the cape die by the cape https://apple.news/Amn9V_9f0S4Cz5lWRFoNQNQ …","","","","877114074752057344","","","https://twitter.com/Greaterman45/status/877114074752057344",""
"ReclaimAnglesea","2017-06-18-22:03",6,8,7,"Spanish bullfighter gored to death after tripping on cape, local media reports (Those who live by the sword .......) http://www.abc.net.au/news/2017-06-19/bullfighter-dies-after-tripping-on-cape-gored-media-reports/8629608 …","","","","876621543836483584","","","https://twitter.com/ReclaimAnglesea/status/876621543836483584",""
"Askthemoon22","2017-06-18-17:47",1,11,0,"Sorry. It's hard to feel badly for Spanish bullfighter # Fandino's death when thousands of bulls are killed by the matadors. Stop it & live","","","# Fandino","876557033369198592","","","https://twitter.com/Askthemoon22/status/876557033369198592",""
"ClutchLikeRomo","2016-10-27-14:22",1,0,0,"Jesus christ RT @ MailOnline: Horror as top Spanish bullfighter is gored to death on live TV http://dailym.ai/29wahyB pic.twitter.com/O2PUTLoQOo","","@ MailOnline","","791706538272370688","","","https://twitter.com/ClutchLikeRomo/status/791706538272370688","https://pbs.twimg.com/media/Cm-_MdeWEAAYBjT.jpg"
"Pigsy75","2016-10-21-05:02",0,0,1,"Fantastico Spanish Bullfighter Gored to Death on Live TV [RAW FOOTAGE] | NorthEastTV https://www.youtube.com/watch?v=EsnfiLC2bz4&feature=share …","","","","789391426534543360","","","https://twitter.com/Pigsy75/status/789391426534543360",""
"MilitaryDogs","2016-07-30-14:03",0,2,2,"Spanish bullfighter was gored to death Saturday during an event on live television. http://cnn.it/29ypAt5 pic.twitter.com/Ljw5RxwA4f","","","","759449327144083458","","","https://twitter.com/MilitaryDogs/status/759449327144083458","https://pbs.twimg.com/media/Cm_kSOZWYAAcynw.jpg"
"MyQueenOfSex","2016-07-16-07:54",0,0,0,"Spanish Bullfighter Gored To Death By Bull On Live TV (Video) http://ln.is/www.360nobs.com/2016/vXmE6 …","","","","754282984568659968","","","https://twitter.com/MyQueenOfSex/status/754282984568659968",""
"stompsingapore","2016-07-16-03:55",0,1,0,"Top Spanish bullfighter, 29, gored to death on live TV as viewers watch in horror http://bit.ly/29tQGhQ pic.twitter.com/KEIt2bqYNM","","","","754222999440531456","","","https://twitter.com/stompsingapore/status/754222999440531456","https://pbs.twimg.com/media/CneJzouVUAAr4dc.jpg"
"edailykenya","2016-07-15-03:00",0,0,0,"Spanish bullfighter gored to death on live TV http://ow.ly/c5d9302fm5V pic.twitter.com/jFSqWxqfHA","","","","753846736691400704","","","https://twitter.com/edailykenya/status/753846736691400704","https://pbs.twimg.com/media/CnYznFEVUAAPjyZ.jpg"
"edailykenya","2016-07-14-12:30",0,0,0,"Spanish bullfighter gored to death on live TV http://ow.ly/c5d9302fm5V pic.twitter.com/JbWGeDuu8r","","","","753627713131479041","","","https://twitter.com/edailykenya/status/753627713131479041","https://pbs.twimg.com/media/CnVsaOhXEAE0FdM.jpg"
"NewsNow_Miami","2016-07-13-20:27",0,0,0,"# Entertainment Spanish bullfighter gored to death on live TV http://wp.me/p7aXRN-OPU pic.twitter.com/j3w4K4QZ9p","","","# Entertainment","753385503970295808","","","https://twitter.com/NewsNow_Miami/status/753385503970295808","https://pbs.twimg.com/media/CnSQHzLUkAEXcsq.jpg"
"Bunz_","2016-07-13-18:23",0,0,0,"Good. Taunting bulls is barbaric and stupid. RT @ Slate: Spanish bullfighter gored to death live on television: http://slate.me/29LkXgJ","","@ Slate","","753354266526580737","","","https://twitter.com/Bunz_/status/753354266526580737",""
"IamNokwandaTI","2016-07-13-10:40",0,0,0,"Spanish bullfighter gored to death on live TV ... http://www.you.co.za/news/spanish-bullfighter-gored-to-death-on-live-tv/ …","","","","753237768772395008","","","https://twitter.com/IamNokwandaTI/status/753237768772395008",""
