username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"acajudi","2018-07-12-14:44",0,0,0,"Two Men Charged With Murder of Dwyane Wade’s Cousin in Chicago | NBC Nig... https://youtu.be/gUufoCDKyh4 via @ YouTube","","@ YouTube","","1017479785872875521","","","https://twitter.com/acajudi/status/1017479785872875521",""
"IsolationNBA","2018-06-27-22:09",5,28,4,"Otros rumores: DeMarcus Cousins: Se va a Dallas Kemba Walker: Se queda en Charlotte Clint Capela: Renueva en Houston Dwyane Wade: Seguirá jugando y lo hará en Miami Rodney Hood: Se va a Chicago J.J. Redick: Se queda en Philadelphia Las incógnitas: Rajon Rondo e Isaiah Thomas pic.twitter.com/d3y2RuFrZP","","","","1012155902097608705","","","https://twitter.com/IsolationNBA/status/1012155902097608705","https://pbs.twimg.com/media/Dgvma9fX4AIOEwS.jpg"
"Soundmanjg","2018-04-20-15:36",0,0,0,"@ realDonaldTrump 'Dwyane Wade's cousin was just shot & killed walking her baby in Chicago. Just what I have been saying. African-Americans will VOTE TRUMP!' Donald Trump, tweeting about the tragic death of Nykea Aldridge, cousin of NBA star Dwyane Wade, & making it about him.","","@ realDonaldTrump","","987414631349010432","","","https://twitter.com/Soundmanjg/status/987414631349010432",""
"ChineseBlackhaw","2018-04-04-10:52",0,1,0,"His cousin was shot and killed while pushing a stroller in Chicago. He has called for gun violence to end before.","","","","981545159283367938","981364030265839621","mikeford414 smonnk","https://twitter.com/ChineseBlackhaw/status/981545159283367938",""
"poproyaltystan","2018-03-24-16:45",0,0,0,"Once again, I'm sorry that your cousin was among those gun casualties in Chicago","","","","977647550663708678","977646432793563137","DwyaneWade","https://twitter.com/poproyaltystan/status/977647550663708678","https://abs.twimg.com/emoji/v2/72x72/1f614.png"
"NeuFrankfurt","2018-03-09-21:25",0,0,0,"Neu: http://www.neustadt-frankfurt.de/?p=7323 When NBA star Dwyane Wade's cousin was shot i When NBA star Dwyane Wade's cousin was shot in Chicago, Trum","","","","972297389536088069","","","https://twitter.com/NeuFrankfurt/status/972297389536088069",""
"RobbinSimmons7","2018-03-07-16:43",1,1,0,"The # MSD students who have been advocating for gun reform legislation met with students from Chicago over the weekend. that of course is the hometown of . @ DwyaneWade who visited the school today...(btw, Wade lost a cousin to gun violence in 2016) https://twitter.com/DwyaneWade/status/971452273741258753 …","","@ DwyaneWade","# MSD","971501612383563777","","","https://twitter.com/RobbinSimmons7/status/971501612383563777",""
"andreas31766429","2018-03-02-18:21",0,0,0,"You are dope to me!! Also, I believe you had a aunt or Cousin that lived on 69th n Perry in Chicago long time ago. She had two sisters....very sweet ladies. My Grandma and Grandfather would take me to tgeir home each holiday!! She was my cousin also....good memories. Take care","","","","969714287756435457","969457442927988737","DwyaneWade ZO2_","https://twitter.com/andreas31766429/status/969714287756435457",""
"FischerNBC6","2018-02-28-13:32",43,105,1,"Dwyane Wade said “I will not shut up and just dribble” Wade’s family affected by gun violence with his cousin being shot in Chicago in 2016 # Heat @ NBC6Sportspic.twitter.com/R0BdSl2B4S","","@ NBC6Sportspic","# Heat","968916960875556864","","","https://twitter.com/FischerNBC6/status/968916960875556864",""
"Moonsea63","2018-02-28-11:13",0,0,0,"Dwyane Wade's cousin was killed in a Chicago drive-by. https://twitter.com/FOXSportsFL/status/968702690271182849 …","","","","968881852663697409","","","https://twitter.com/Moonsea63/status/968881852663697409","https://pbs.twimg.com/media/DXGF9OaUMAAU_-Q.jpg"
