content,username,replyto,permalink,time
"Oh my goodness, RepGosar. Dreamers don’t pose a threat to us. This is so drastic and cruel. Dios mío.,https://,twitter.com/thehill/status,/958420065585680384, ,…",RosLehtinen,,https://twitter.com/RosLehtinen/status/958422437187739649,1517340690
That definitely will get many in our community to go out and vote in 2020.  I definitely will,EvelynPR,RosLehtinen,https://twitter.com/EvelynPR/status/958451131537076224,1517347531
"Uh, you want to vote this year...",lyda,"EvelynPR,RosLehtinen",https://twitter.com/lyda/status/958467097511817219,1517351338
2020....reading is important,EvelynPR,"lyda,RosLehtinen",https://twitter.com/EvelynPR/status/958471204020637696,1517352317
2018....civics is important,lyda,"EvelynPR,RosLehtinen",https://twitter.com/lyda/status/958472718915178496,1517352678
Absolutely 2018 midterms also,EvelynPR,"lyda,RosLehtinen",https://twitter.com/EvelynPR/status/958475476942585857,1517353335
"He's right, my friend. It starts in 2018...",BigWil4U,"EvelynPR,lyda,RosLehtinen",https://twitter.com/BigWil4U/status/958484270552674304,1517355432
"UNAMERICAN 
REP GOSAR VOTE HIM OUT",Rosie,RosLehtinen,https://twitter.com/Rosie/status/958468175951269888,1517351595
"Which laws do I get to pick and chose whether to follow or not? Am I posing a threat to you if I steal a car? Rob someone's home? Cheat on my taxes? I can do all that, right? ~because it's not a threat to anyone.",TracyJeffords,RosLehtinen,https://twitter.com/TracyJeffords/status/958423139951828994,1517340857
You can be President.,motherjuggs,"TracyJeffords,RosLehtinen",https://twitter.com/motherjuggs/status/958432747491610625,1517343148
good answer,rausc15,"motherjuggs,TracyJeffords,RosLehtinen",https://twitter.com/rausc15/status/958469016632352769,1517351795
"Why, thank you.,pic.twitter.com/65HIHq1qRs",motherjuggs,"rausc15,TracyJeffords,RosLehtinen",https://twitter.com/motherjuggs/status/958474870635094016,1517353191
"Except stealing a car, robbing homes and cheating on taxes don't echo the foundation of who we are as a nation. A nation built on and built by dreamers and immigrants.",Shoffner1974,"motherjuggs,rausc15",https://twitter.com/Shoffner1974/status/958506548266926081,1517360743
"Illegal as they may be, going out of your way to block their path to citizenship makes you as unAmerican as you think they are.",Shoffner1974,"Shoffner1974,motherjuggs",https://twitter.com/Shoffner1974/status/958506709093421057,1517360782
"And as another commenter on this topic said:

""DREAMERS still have legally binding protected status. THAT is the current law of the land. They can't be rounded up for deportation.""",Shoffner1974,"Shoffner1974,motherjuggs",https://twitter.com/Shoffner1974/status/958507018020630530,1517360855
"Mr. Shoffner, I couldn't agree with your postings more. The original post I placed was used as sarcasm towards a posting that didn't seem to echo this same viewpoint. ",motherjuggs,"Shoffner1974,rausc15",https://twitter.com/motherjuggs/status/958515185848905729,1517362803
"Enforcing the law is neither drastic nor cruel. What is drastic and cruel is to reward lawbreaking while those of us who obey the law suffer the costs and burdens of illegal immigration. And ma'am, I am Hispanic.",EgozcueRichard,RosLehtinen,https://twitter.com/EgozcueRichard/status/958434148116582400,1517343482
The law shields DREAMers from deportation. What law is enforced by arresting them? DREAMers/TPS are not illegal under current law,joewhalen,"EgozcueRichard,RosLehtinen",https://twitter.com/joewhalen/status/958451375909748737,1517347589
